Neighborhood,Count
Northside,2421
Brighton,1183
Eastwood,1065
Strathmore,1049
Court-Woodlawn,980
Near Westside,915
Washington Square,891
Tipp Hill,851
Lincoln Hill,778
Far Westside,723
Westcott,715
Elmwood,678
Sedgwick,653
Park Ave.,562
Southside,549
University Neighborhood,536
Southwest,518
Skunk City,411
Salt Springs,241
Hawley-Green,204
Prospect Hill,200
Meadowbrook,193
University Hill,150
Near Eastside,148
North Valley,147
Outer Comstock,142
South Valley,95
Lakefront,55
Downtown,42
Winkworth,37
Franklin Square,9
South Campus,2
